Count,Instrument 1,Instrument 2,Section,,,,,
180,Bass Drum,Hi-hat (closed),Chorus,,,,,
e,,,Chorus,,,,,
&,Bass Drum,Hi-hat (closed),Chorus, ,,,,
a,,,Chorus,,,,,
181,Hi-hat (closed),,Chorus,,,,,
e,,,Chorus,,,,,
&,Snare Drum,Hi-hat (closed),Chorus,,,,,
a,,,Chorus,,,,,
182,Bass Drum,Hi-hat (closed),Chorus,,,,,
e,,,Chorus,,,,,
&,Bass Drum,Hi-hat (closed),Chorus,46,,,,
a,,,Chorus,,,,,
183,Hi-hat (closed),,Chorus,,,,,
e,,,Chorus,,,,,
&,Snare Drum,Hi-hat (closed),Chorus,,,,,
a,,,Chorus,,,,,
184,Bass Drum,Hi-hat (closed),Chorus,,,,,
e,,,Chorus,,,,,
&,Bass Drum,Hi-hat (closed),Chorus,,,,,
a,,,Chorus,,,,,
185,Hi-hat (closed),,Chorus,,,,,
e,,,Chorus,,,,,
&,Snare Drum,Hi-hat (closed),Chorus,,,,,
a,,,Chorus,,,,,
186,Bass Drum,Hi-hat (closed),Chorus,,,,,
e,,,Chorus,,,,,
&,Bass Drum,Hi-hat (closed),Chorus,47,,,,
a,,,Chorus,,,,,
187,Bass Drum,Hi-hat (closed),Chorus,,,,,
e,,,Chorus,,,,,
&,Snare Drum,Hi-hat (closed),Chorus,,,,,
a,,,Chorus,,,,,
188,Bass Drum,Hi-hat (closed),Chorus,,,,,
e,,,Chorus,,,,,
&,Bass Drum,Hi-hat (closed),Chorus, ,,,,
a,,,Chorus,,,,,
189,Hi-hat (closed),,Chorus,,,,,
e,,,Chorus,,,,,
&,Snare Drum,Hi-hat (closed),Chorus,,,,,
a,,,Chorus,,,,,
190,Bass Drum,Hi-hat (closed),Chorus,,,,,
e,,,Chorus,,,,,
&,Bass Drum,Hi-hat (closed),Chorus,48,,,,
a,,,Chorus,,,,,
191,Hi-hat (closed),,Chorus,,,,,
e,,,Chorus,,,,,
&,Snare Drum,Hi-hat (closed),Chorus,,,,,
a,,,Chorus,,,,,
192,Bass Drum,Hi-hat (closed),Chorus,,,,,
e,,,Chorus,,,,,
&,Bass Drum,Hi-hat (closed),Chorus,,,,,
a,,,Chorus,,,,,
193,Hi-hat (closed),,Chorus,,,,,
e,,,Chorus,,,,,
&,Snare Drum,Hi-hat (closed),Chorus,,,,,
a,,,Chorus,,,,,
194,Bass Drum,Hi-hat (closed),Chorus,,,,,
e,,,Chorus,,,,,
&,Bass Drum,Hi-hat (closed),,49,,,,
a,,,,,,,,
195,Hi-hat (closed),,,,,,,
e,,,,,,,,
&,Snare Drum,Hi-hat (closed),,,,,,
a,,,,,,,,
196,Bass Drum,Hi-hat (closed),,,,,,
e,,,,,,,,
&,Bass Drum,Hi-hat (closed),, ,,,,
a,,,,,,,,
197,Hi-hat (closed),,,,,,,
e,,,,,,,,
&,Snare Drum,Hi-hat (closed),,,,,,
a,,,,,,,,
198,Bass Drum,Hi-hat (closed),,,,,,
e,,,,,,,,
&,Bass Drum,Hi-hat (closed),,50,,,,
a,,,,,,,,
199,Hi-hat (closed),,,,,,,
e,,,,,,,,
&,Snare Drum,Hi-hat (closed),,,,,,
a,,,,,,,,
200,Bass Drum,Hi-hat (closed),,,,,,
e,,,,,,,,
&,Bass Drum,Hi-hat (closed),,,,,,
a,,,,,,,,
201,Snare Drum,Tom-tom,,,,,,
e,,,,,,,,
&,Hi-hat (closed),,,,,,,
a,,,,,,,,
202,Bass Drum,Hi-hat (closed),,,,,,
e,,,,,,,,
&,Snare Drum,Tom-tom,,51,,,,
a,,,,,,,,
203,Bass Drum,,,,,,,
e,,,,,,,,
&,Snare Drum,Tom-tom,,,,,,
a,,,,,,,,
204,Bass Drum,,,,,,,
e,,,,,,,,
&,Bass Drum,Tom-tom,, ,,,,
a,,,,,,,,
205,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
206,Bass Drum,Tom-tom,,,,,,
e,,,,,,,,
&,Ride Cymbal,,,52,,,,
a,,,,,,,,
207,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
208,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Bass Drum,Tom-tom,,,,,,
a,,,,,,,,
209,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
210,Bass Drum,Tom-tom,,,,,,
e,,,,,,,,
&,Ride Cymbal,,,53,,,,
a,,,,,,,,
211,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
212,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Bass Drum,Tom-tom,, ,,,,
a,,,,,,,,
213,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
214,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Bass Drum,Ride Cymbal,,54,,,,
a,,,,,,,,
215,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
216,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Bass Drum,Ride Cymbal,,,,,,
a,,,,,,,,
217,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
218,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Bass Drum,Ride Cymbal,,55,,,,
a,,,,,,,,
219,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
220,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Bass Drum,Ride Cymbal,, ,,,,
a,,,,,,,,
221,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
222,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Bass Drum,Ride Cymbal,,56,,,,
a,,,,,,,,
223,Snare Drum,Tom-tom,,,,,,
e,,,,,,,,
&,Snare Drum,Tom-tom,,,,,,
a,,,,,,,,
224,,,,,,,,
e,,,,,,,,
&,Bass Drum,Tom-tom,,,,,,
a,,,,,,,,
225,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
226,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Bass Drum,Ride Cymbal,,57,,,,
a,,,,,,,,
227,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
228,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Bass Drum,Ride Cymbal,, ,,,,
a,,,,,,,,
229,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
230,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Bass Drum,Ride Cymbal,,58,,,,
a,,,,,,,,
231,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Ride Cymbal,,,,,,,
a,,,,,,,,
232,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Bass Drum,Ride Cymbal,,,,,,
a,,,,,,,,
233,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
234,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Bass Drum,Ride Cymbal,,59,,,,
a,,,,,,,,
235,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Ride Cymbal,,,,,,,
a,,,,,,,,
236,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Bass Drum,Ride Cymbal,, ,,,,
a,,,,,,,,
237,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
238,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Bass Drum,Ride Cymbal,,60,,,,
a,,,,,,,,
239,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Ride Cymbal,,,,,,,
a,,,,,,,,
240,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Bass Drum,Ride Cymbal,,,,,,
a,,,,,,,,
241,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
242,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Bass Drum,Ride Cymbal,,61,,,,
a,,,,,,,,
243,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Ride Cymbal,,,,,,,
a,,,,,,,,
244,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Bass Drum,Ride Cymbal,, ,,,,
a,,,,,,,,
245,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
246,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Bass Drum,Ride Cymbal,,62,,,,
a,,,,,,,,
247,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Ride Cymbal,,,,,,,
a,,,,,,,,
248,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Bass Drum,Ride Cymbal,,,,,,
a,,,,,,,,
249,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
250,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Bass Drum,Ride Cymbal,,63,,,,
a,,,,,,,,
251,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Ride Cymbal,,,,,,,
a,,,,,,,,
252,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Bass Drum,Ride Cymbal,, ,,,,
a,,,,,,,,
253,Snare Drum,Tom-tom,,,,,,
e,,,,,,,,
&,Ride Cymbal,,,,,,,
a,,,,,,,,
254,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Snare Drum,Tom-tom,,64,,,,
a,,,,,,,,
255,Bass Drum,,,,,,,
e,,,,,,,,
&,Snare Drum,Tom-tom,,,,,,
a,,,,,,,,
256,,,,,,,,
e,,,,,,,,
&,Bass Drum,Tom-tom,,,,,,
a,,,,,,,,
257,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
258,Bass Drum,Tom-tom,,,,,,
e,,,,,,,,
&,Ride Cymbal,,,65,,,,
a,,,,,,,,
259,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
260,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Bass Drum,Tom-tom,, ,,,,
a,,,,,,,,
261,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
262,Bass Drum,Tom-tom,,,,,,
e,,,,,,,,
&,Ride Cymbal,,,66,,,,
a,,,,,,,,
263,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
264,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Bass Drum,Tom-tom,,,,,,
a,,,,,,,,
265,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
266,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Bass Drum,Ride Cymbal,,67,,,,
a,,,,,,,,
267,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
268,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Bass Drum,Ride Cymbal,, ,,,,
a,,,,,,,,
269,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
270,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Bass Drum,Ride Cymbal,,68,,,,
a,,,,,,,,
271,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
272,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Bass Drum,Tom-tom,,,,,,
a,,,,,,,,
273,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
274,Bass Drum,Tom-tom,,,,,,
e,,,,,,,,
&,Ride Cymbal,,,69,,,,
a,,,,,,,,
275,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
276,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Bass Drum,Tom-tom,, ,,,,
a,,,,,,,,
277,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
278,Bass Drum,Tom-tom,,,,,,
e,,,,,,,,
&,Ride Cymbal,,,70,,,,
a,,,,,,,,
279,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
280,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Bass Drum,Tom-tom,,,,,,
a,,,,,,,,
281,Tom-tom,Snare Drum,,,,,,
e,,,,,,,,
&,Tom-tom,Snare Drum,,,,,,
a,,,,,,,,
282,Tom-tom,Snare Drum,,,,,,
e,,,,,,,,
&,Tom-tom,Snare Drum,,71,,,,
a,,,,,,,,
283,Tom-tom,Snare Drum,,,,,,
e,,,,,,,,
&,Tom-tom,Snare Drum,,,,,,
a,,,,,,,,
284,Tom-tom,Snare Drum,,,,,,
e,,,,,,,,
&,Tom-tom,Snare Drum,, ,,,,
a,,,,,,,,
285,Tom-tom,Snare Drum,,,,,,
e,,,,,,,,
&,Tom-tom,Snare Drum,,,,,,
a,,,,,,,,
286,Tom-tom,Snare Drum,,,,,,
e,,,,,,,,
&,Tom-tom,Snare Drum,,72,,,,
a,,,,,,,,
287,Bass Drum,,,,,,,
e,,,,,,,,
&,Snare Drum,Snare Drum,,,,,,
a,,,,,,,,
288,,,,,,,,
e,,,,,,,,
&,Bass Drum,Tom-tom,,,,,,
a,,,,,,,,
289,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
290,Bass Drum,Tom-tom,,,,,,
e,,,,,,,,
&,Ride Cymbal,,,73,,,,
a,,,,,,,,
291,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
292,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Bass Drum,Tom-tom,, ,,,,
a,,,,,,,,
293,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
294,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Ride Cymbal,,,74,,,,
a,,,,,,,,
295,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
296,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Bass Drum,Tom-tom,,,,,,
a,,,,,,,,
297,Tom-tom,Snare Drum,,,,,,
e,,,,,,,,
&,Tom-tom,Snare Drum,,,,,,
a,,,,,,,,
298,Tom-tom,Snare Drum,,,,,,
e,,,,,,,,
&,Tom-tom,Snare Drum,,75,,,,
a,,,,,,,,
299,Tom-tom,Snare Drum,,,,,,
e,,,,,,,,
&,Tom-tom,Snare Drum,,,,,,
a,,,,,,,,
300,Tom-tom,Snare Drum,,,,,,
e,,,,,,,,
&,Tom-tom,Snare Drum,, ,,,,
a,,,,,,,,
301,Tom-tom,Snare Drum,,,,,,
e,,,,,,,,
&,Tom-tom,Snare Drum,,,,,,
a,,,,,,,,
302,Tom-tom,Snare Drum,,,,,,
e,,,,,,,,
&,Tom-tom,Snare Drum,,76,,,,
a,,,,,,,,
303,Tom-tom,Snare Drum,,,,,,
e,,,,,,,,
&,Snare Drum,Snare Drum,,,,,,
a,,,,,,,,
304,,,,,,,,
e,,,,,,,,
&,Bass Drum,Tom-tom,,,,,,
a,,,,,,,,
305,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
306,Bass Drum,Tom-tom,,,,,,
e,,,,,,,,
&,Ride Cymbal,,,77,,,,
a,,,,,,,,
307,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
308,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Bass Drum,Tom-tom,, ,,,,
a,,,,,,,,
309,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
310,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Ride Cymbal,,,78,,,,
a,,,,,,,,
311,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
312,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Bass Drum,Tom-tom,,,,,,
a,,,,,,,,
313,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
314,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Ride Cymbal,,,79,,,,
a,,,,,,,,
315,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
316,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Bass Drum,Tom-tom,, ,,,,
a,,,,,,,,
317,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
318,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Bass Drum,Tom-tom,,80,,,,
a,,,,,,,,
319,,,,,,,,
e,,,,,,,,
&,Bass Drum,Tom-tom,,,,,,
a,,,,,,,,
320,,,,,,,,
e,,,,,,,,
&,Bass Drum,Hi-hat (closed),,,,,,
a,,,,,,,,
321,Hi-hat (closed),,,,,,,
e,,,,,,,,
&,Snare Drum,Hi-hat (closed),,,,,,
a,,,,,,,,
322,Bass Drum,Hi-hat (closed),,,,,,
e,,,,,,,,
&,Hi-hat (closed),,,81,,,,
a,,,,,,,,
323,Hi-hat (closed),,,,,,,
e,,,,,,,,
&,Snare Drum,Hi-hat (closed),,,,,,
a,,,,,,,,
324,Hi-hat (closed),,,,,,,
e,,,,,,,,
&,Bass Drum,Hi-hat (closed),, ,,,,
a,,,,,,,,
325,Hi-hat (closed),,,,,,,
e,,,,,,,,
&,Snare Drum,Hi-hat (closed),,,,,,
a,,,,,,,,
326,Bass Drum,Hi-hat (closed),,,,,,
e,,,,,,,,
&,Hi-hat (closed),,,82,,,,
a,,,,,,,,
327,Hi-hat (closed),,,,,,,
e,,,,,,,,
&,Snare Drum,Hi-hat (closed),,,,,,
a,,,,,,,,
328,Hi-hat (closed),,,,,,,
e,,,,,,,,
&,Bass Drum,Hi-hat (closed),,,,,,
a,,,,,,,,
329,Hi-hat (closed),,,,,,,
e,,,,,,,,
&,Snare Drum,Hi-hat (closed),,,,,,
a,,,,,,,,
330,Bass Drum,Hi-hat (closed),,,,,,
e,,,,,,,,
&,Hi-hat (closed),,,83,,,,
a,,,,,,,,
331,Hi-hat (closed),,,,,,,
e,,,,,,,,
&,Snare Drum,Hi-hat (closed),,,,,,
a,,,,,,,,
332,Hi-hat (closed),,,,,,,
e,,,,,,,,
&,Hi-hat (closed),,, ,,,,
a,,,,,,,,
333,Bass Drum,Hi-hat (closed),,,,,,
e,,,,,,,,
&,Snare Drum,Hi-hat (closed),,,,,,
a,,,,,,,,
334,Bass Drum,Hi-hat (closed),,,,,,
e,,,,,,,,
&,Bass Drum,Hi-hat (closed),,84,,,,
a,,,,,,,,
335,Hi-hat (closed),,,,,,,
e,,,,,,,,
&,Snare Drum,Hi-hat (closed),,,,,,
a,,,,,,,,
336,Hi-hat (closed),,,,,,,
e,,,,,,,,
&,Bass Drum,Hi-hat (closed),,,,,,
a,,,,,,,,
337,Hi-hat (closed),,,,,,,
e,,,,,,,,
&,Snare Drum,Hi-hat (closed),,,,,,
a,,,,,,,,
338,Bass Drum,Hi-hat (closed),,,,,,
e,,,,,,,,
&,Hi-hat (closed),,,85,,,,
a,,,,,,,,
339,Hi-hat (closed),,,,,,,
e,,,,,,,,
&,Snare Drum,Hi-hat (closed),,,,,,
a,,,,,,,,
340,Hi-hat (closed),,,,,,,
e,,,,,,,,
&,Bass Drum,Hi-hat (closed),, ,,,,
a,,,,,,,,
341,Hi-hat (closed),,,,,,,
e,,,,,,,,
&,Snare Drum,Hi-hat (closed),,,,,,
a,,,,,,,,
342,Bass Drum,Hi-hat (closed),,,,,,
e,,,,,,,,
&,Hi-hat (closed),,,86,,,,
a,,,,,,,,
343,Hi-hat (closed),,,,,,,
e,,,,,,,,
&,Snare Drum,Hi-hat (closed),,,,,,
a,,,,,,,,
344,Hi-hat (closed),,,,,,,
e,,,,,,,,
&,Bass Drum,Hi-hat (closed),,,,,,
a,,,,,,,,
345,Hi-hat (closed),,,,,,,
e,,,,,,,,
&,Snare Drum,Hi-hat (closed),,,,,,
a,,,,,,,,
346,Bass Drum,Hi-hat (closed),,,,,,
e,,,,,,,,
&,Hi-hat (closed),,,87,,,,
a,,,,,,,,
347,Hi-hat (closed),,,,,,,
e,,,,,,,,
&,Snare Drum,Hi-hat (closed),,,,,,
a,,,,,,,,
348,Hi-hat (closed),,,,,,,
e,,,,,,,,
&,Hi-hat (closed),,, ,,,,
a,,,,,,,,
349,Bass Drum,Hi-hat (closed),,,,,,
e,,,,,,,,
&,Snare Drum,Hi-hat (closed),,,,,,
a,,,,,,,,
350,Bass Drum,Hi-hat (closed),,,,,,
e,,,,,,,,
&,Bass Drum,Hi-hat (closed),,88,,,,
a,,,,,,,,
351,Hi-hat (closed),,,,,,,
e,,,,,,,,
&,Snare Drum,Hi-hat (closed),,,,,,
a,,,,,,,,
352,Snare Drum,Hi-hat (closed),,,,,,
e,,,,,,,,
&,Bass Drum,Tom-tom,,,,,,
a,,,,,,,,
353,Hi-hat (closed),,,,,,,
e,,,,,,,,
&,Snare Drum,Hi-hat (closed),,,,,,
a,,,,,,,,
354,Hi-hat (closed),,,,,,,
e,,,,,,,,
&,Hi-hat (closed),,,89,,,,
a,,,,,,,,
355,Bass Drum,Hi-hat (closed),,,,,,
e,,,,,,,,
&,Snare Drum,Hi-hat (closed),,,,,,
a,,,,,,,,
356,Hi-hat (closed),,,,,,,
e,,,,,,,,
&,Bass Drum,Hi-hat (closed),, ,,,,
a,,,,,,,,
357,Hi-hat (closed),,,,,,,
e,,,,,,,,
&,Snare Drum,Hi-hat (closed),,,,,,
a,,,,,,,,
358,Bass Drum,Hi-hat (closed),,,,,,
e,,,,,,,,
&,Hi-hat (closed),,,90,,,,
a,,,,,,,,
359,Bass Drum,Hi-hat (closed),,,,,,
e,,,,,,,,
&,Snare Drum,Hi-hat (closed),,,,,,
a,,,,,,,,
360,Bass Drum,Hi-hat (closed),,,,,,
e,,,,,,,,
&,Snare Drum,Tom-tom,,,,,,
a,,,,,,,,
361,Tom-tom,Snare Drum,,,,,,
e,,,,,,,,
&,Tom-tom,Snare Drum,,,,,,
a,,,,,,,,
362,Tom-tom,Snare Drum,,,,,,
e,,,,,,,,
&,Tom-tom,Snare Drum,,91,,,,
a,,,,,,,,
363,Tom-tom,Snare Drum,,,,,,
e,,,,,,,,
&,Tom-tom,Snare Drum,,,,,,
a,,,,,,,,
364,Tom-tom,Snare Drum,,,,,,
e,,,,,,,,
&,Tom-tom,Snare Drum,, ,,,,
a,,,,,,,,
365,Tom-tom,Snare Drum,,,,,,
e,,,,,,,,
&,Tom-tom,Snare Drum,,,,,,
a,,,,,,,,
366,Tom-tom,Snare Drum,,,,,,
e,,,,,,,,
&,Snare Drum,Snare Drum,,92,,,,
a,,,,,,,,
367,Bass Drum,,,,,,,
e,,,,,,,,
&,Snare Drum,Snare Drum,,,,,,
a,,,,,,,,
368,,,,,,,,
e,,,,,,,,
&,Bass Drum,Tom-tom,,,,,,
a,,,,,,,,
369,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
370,Bass Drum,Tom-tom,,,,,,
e,,,,,,,,
&,Ride Cymbal,,,93,,,,
a,,,,,,,,
371,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
372,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Bass Drum,Tom-tom,, ,,,,
a,,,,,,,,
373,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
374,Bass Drum,Tom-tom,,,,,,
e,,,,,,,,
&,Ride Cymbal,,,94,,,,
a,,,,,,,,
375,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
376,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Bass Drum,Tom-tom,,,,,,
a,,,,,,,,
377,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
378,Bass Drum,Tom-tom,,,,,,
e,,,,,,,,
&,Ride Cymbal,,,95,,,,
a,,,,,,,,
379,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
380,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Bass Drum,Tom-tom,, ,,,,
a,,,,,,,,
381,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
382,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Bass Drum,Tom-tom,,96,,,,
a,,,,,,,,
383,,,,,,,,
e,,,,,,,,
&,Bass Drum,Tom-tom,,,,,,
a,,,,,,,,
384,,,,,,,,
e,,,,,,,,
&,Bass Drum,Tom-tom,,,,,,
a,,,,,,,,
385,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
386,Bass Drum,Tom-tom,,,,,,
e,,,,,,,,
&,Ride Cymbal,,,97,,,,
a,,,,,,,,
387,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
388,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Bass Drum,Tom-tom,, ,,,,
a,,,,,,,,
389,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
390,Bass Drum,Tom-tom,,,,,,
e,,,,,,,,
&,Ride Cymbal,,,98,,,,
a,,,,,,,,
391,Bass Drum,Ride Cymbal,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
392,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Bass Drum,Tom-tom,,,,,,
a,,,,,,,,
393,Ride Cymbal,,,,,,,
e,,,,,,,,
&,Snare Drum,Ride Cymbal,,,,,,
a,,,,,,,,
394,Bass Drum,Tom-tom,,,,,,
e,,,,,,,,
&,Ride Cymbal,,,99,,,,
a,,,,,,,,
395,Bass Drum,Ride Cymbal,,,,,,
