Count,Instrument 1,Instrument 2,Section,
171,Snare Drum,Ghost Note,,86
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
172,Bass Drum,Ghost Note,,
e,,,,
&,Ghost Note,,,
a,,,,
173,Snare Drum,Ghost Note,,87
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
174,Bass Drum,Ghost Note,,
e,,,,
&,Ghost Note,,,
a,,,,
175,Snare Drum,Ghost Note,,88
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
176,Bass Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
177,Snare Drum,Ghost Note,,89
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
178,Bass Drum,Ghost Note,,
e,,,,
&,Ghost Note,,,
a,,,,
179,Snare Drum,Ghost Note,,90
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
180,Bass Drum,Ghost Note,,
e,,,,
&,Ghost Note,,,
a,,,,
181,Snare Drum,Ghost Note,,91
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
182,Bass Drum,Ghost Note,,
e,,,,
&,Ghost Note,,,
a,,,,
183,Snare Drum,Ghost Note,,92
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
184,Bass Drum,Ghost Note,,
e,,,,
&,Ghost Note,,,
a,,,,
185,Snare Drum,Ghost Note,,93
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
186,Bass Drum,Ghost Note,,
e,,,,
&,Ghost Note,,,
a,,,,
187,Snare Drum,Ghost Note,,94
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
188,Bass Drum,Ghost Note,,
e,,,,
&,Ghost Note,,,
a,,,,
189,Snare Drum,Ghost Note,,95
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
190,Bass Drum,Ghost Note,,
e,,,,
&,Snare Drum,Tom-tom,,
a,,,,
191,Ghost Note,,,96
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
192,Snare Drum,Tom-tom,,
e,,,,
&,Bass Drum,,,
a,,,,
193,Snare Drum,Tom-tom,,97
e,,,,
&,Bass Drum,,,
a,,,,
194,Bass Drum,Tom-tom,,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
195,Snare Drum,Hi-Hat (Open),,98
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
196,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
197,Snare Drum,Hi-Hat (Open),,99
e,,,,
&,Hi-Hat (Open),,,
a,,,,
198,Bass Drum,Tom-tom,,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
199,Snare Drum,Hi-Hat (Open),,100
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
200,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
201,Snare Drum,Hi-Hat (Open),,101
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
202,Bass Drum,Tom-tom,,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
203,Snare Drum,Hi-Hat (Open),,102
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
204,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
205,Snare Drum,Hi-Hat (Open),,103
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
206,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
207,Snare Drum,Hi-Hat (Open),,104
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
208,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
209,Snare Drum,Hi-Hat (Open),,105
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
210,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
211,Snare Drum,Hi-Hat (Open),,106
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
212,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Snare Drum,Tom-tom,,
a,,,,
213,Snare Drum,Tom-tom,,107
e,,,,
&,,,,
a,,,,
214,Bass Drum,Tom-tom,,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
215,Snare Drum,Hi-Hat (Open),,108
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
216,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
217,Snare Drum,Hi-Hat (Open),,109
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
218,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
219,Snare Drum,Hi-Hat (Open),,110
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
220,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
221,Hi-Hat (Open),,,111
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
222,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
223,Snare Drum,Hi-Hat (Open),,112
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
224,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
225,Hi-Hat (Open),,,113
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
226,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
227,Snare Drum,Hi-Hat (Open),,114
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
228,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
229,Hi-Hat (Open),,,115
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
230,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
231,Snare Drum,Hi-Hat (Open),,116
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
232,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
233,Hi-Hat (Open),,,117
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
234,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
235,Snare Drum,Hi-Hat (Open),,118
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
236,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
237,Hi-Hat (Open),,,119
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
238,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
239,Snare Drum,Hi-Hat (Open),,120
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
240,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
241,Hi-Hat (Open),,,121
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
242,Bass Drum,Hi-Hat (Open),,
e,,,,
&,Snare Drum,Tom-tom,,
a,,,,
243,Hi-Hat (Open),,,122
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
244,Snare Drum,Tom-tom,,
e,,,,
&,Bass Drum,,,
a,,,,
245,Snare Drum,Tom-tom,,123
e,,,,
&,,,,
a,,,,
246,Bass Drum,Tom-tom,,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
247,Snare Drum,Hi-Hat (Open),,124
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
248,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
249,Snare Drum,Hi-Hat (Open),,125
e,,,,
&,Hi-Hat (Open),,,
a,,,,
250,Bass Drum,Tom-tom,,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
251,Snare Drum,Hi-Hat (Open),,126
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
252,Hi-Hat (Open),,,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
253,Snare Drum,Hi-Hat (Open),,127
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
